Haig Glacier Automatic Weather Station;;;;;;;;;;;;;;;;
Daily mean meteorological conditions, 2002-2015;;;;;;;lon;115.3018 W;;;;;;;albedo_flag=0:  estimated;
All data are mean daily values calculated from 30-minute AWS data.;;;;;;;lat;50.7124 N;;;;;;;albedo_flag=1: measured;
Missing data is gap-filled from the forefield AWS (lapsed/adjusted);;;;;;;elev;2665 m;;;;;;;;
See Marshall (HESS, 2014) and Marshall and Miller (Cryosphere, 2020) concerning the gap-filling methods.;;;;;;;;;;;;;;;;
;;;;;;;;;;SW in;SW out;;LW in;LW out;  albedo;
2002;32;-13,7;-14,6;-12,6;79,1;1,43;1,68;732,5;3,35;67,8;60,0;0,89;233,1;244,0;0;
2002;33;-12,4;-13,8;-10,5;79,3;1,59;1,87;731,8;4,64;55,1;49,6;0,90;238,3;249,1;0;
2002;34;-11,0;-14,3;-7,9;84,1;1,90;2,25;737,1;4,46;53,9;46,9;0,87;251,5;254,7;0;
2002;35;-10,1;-13,4;-6,3;70,7;1,68;1,98;733,0;4,57;149,0;128,5;0,86;233,2;258,2;0;
2002;36;-6,5;-10,6;-3,4;46,2;1,34;1,60;739,6;6,30;112,5;96,7;0,86;203,4;272,4;0;
2002;37;-10,8;-12,3;-9,8;87,6;1,98;2,36;740,4;4,57;39,6;35,3;0,89;257,9;255,2;0;
2002;38;-11,1;-13,1;-9,8;84,0;1,88;2,20;727,6;3,85;45,3;40,4;0,89;250,7;254,0;0;
2002;39;-12,5;-13,7;-10,2;82,9;1,64;1,95;739,8;2,27;65,2;56,1;0,86;243,8;248,8;0;
2002;40;-12,3;-15,5;-10,0;69,1;1,36;1,63;744,2;4,91;145,1;125,8;0,87;222,6;249,6;0;
2002;41;-6,1;-10,6;-1,9;71,7;2,30;2,73;737,6;5,78;111,0;96,0;0,86;249,8;274,3;0;
2002;42;-14,0;-15,6;-10,2;76,9;1,36;1,63;745,9;4,39;100,1;86,8;0,87;228,8;243,0;0;
2002;43;-11,8;-15,8;-7,6;73,8;1,57;1,85;733,7;5,38;173,6;151,4;0,87;232,0;251,6;0;
2002;44;-11,6;-14,1;-8,0;73,8;1,59;1,86;726,7;4,78;61,3;54,2;0,89;232,4;252,0;0;
2002;45;-10,9;-16,1;-4,4;68,7;1,54;1,82;737,2;4,78;177,7;157,3;0,89;226,6;254,8;0;
2002;46;-4,8;-8,4;-1,7;46,1;1,61;1,91;738,7;4,41;179,8;161,8;0,90;208,9;279,8;0;
2002;47;-4,1;-8,5;-1,3;42,5;1,54;1,81;728,4;4,18;178,9;155,7;0,87;204,7;282,8;0;
2002;48;-8,8;-9,9;-6,8;81,3;2,14;2,57;747,3;3,41;138,2;120,6;0,87;255,7;263,3;0;
2002;49;-9,8;-10,7;-8,7;85,4;2,09;2,48;737,3;2,83;77,1;68,2;0,89;258,1;259,1;0;
2002;50;-9,6;-11,7;-7,8;86,0;2,15;2,54;733,8;4,53;59,8;53,2;0,89;260,0;259,9;0;
2002;51;-10,4;-11,6;-8,9;74,9;1,78;2,09;731,7;4,11;85,4;73,0;0,85;238,8;256,9;0;
2002;52;-9,5;-11,8;-4,7;84,4;2,19;2,58;733,8;5,27;48,4;41,7;0,86;258,0;260,5;0;
2002;53;-6,5;-17,1;-3,7;89,4;2,99;3,55;737,6;5,12;55,0;42,8;0,78;279,4;272,8;0;
2002;54;-21,9;-24,8;-17,4;80,5;0,74;0,87;737,2;2,72;107,0;89,0;0,83;206,6;214,5;0;
2002;55;-24,3;-27,7;-21,4;73,4;0,53;0,64;742,5;3,16;175,3;154,3;0,88;189,3;206,3;0;
2002;56;-21,0;-23,7;-16,1;61,9;0,60;0,71;734,2;4,64;235,8;212,2;0,90;183,9;217,7;0;
2002;57;-13,6;-18,9;-9,9;60,0;1,08;1,28;734,9;5,03;118,7;104,8;0,88;203,7;244,4;0;
2002;58;-15,5;-18,6;-12,8;73,5;1,15;1,35;727,9;5,63;123,6;108,1;0,88;218,3;237,4;0;
2002;59;-16,2;-17,2;-14,3;76,8;1,11;1,33;743,5;3,58;149,0;131,9;0,89;220,8;234,9;0;
2002;60;-18,0;-19,3;-15,1;69,3;0,88;1,03;728,7;3,54;215,4;193,9;0,90;203,5;228,1;0;
2002;61;-16,8;-20,0;-13,6;71,9;1,01;1,19;732,9;4,53;241,2;217,1;0,90;211,2;232,5;0;
2002;62;-9,8;-15,7;-7,0;80,6;2,01;2,38;734,1;5,01;158,3;142,5;0,90;250,5;259,4;0;
2002;63;-9,0;-12,0;-7,8;84,8;2,23;2,63;730,7;3,70;84,1;75,7;0,90;260,6;262,4;0;
2002;64;-24,0;-29,7;-12,2;79,3;0,65;0,77;735,3;2,11;128,4;115,5;0,90;198,3;207,5;0;
2002;65;-28,5;-32,9;-19,6;75,0;0,41;0,48;734,0;0,95;203,7;180,2;0,89;178,9;192,7;0;
2002;66;-24,5;-32,7;-11,4;78,9;0,64;0,76;741,1;1,78;208,3;187,5;0,90;196,0;205,6;0;
2002;67;-23,5;-25,3;-21,7;78,9;0,63;0,74;730,9;3,30;136,1;121,5;0,89;199,3;209,2;0;
2002;68;-19,5;-22,8;-14,7;80,5;0,93;1,09;730,0;3,61;193,3;173,9;0,90;214,6;222,8;0;
2002;69;-11,5;-14,1;-9,8;82,1;1,74;2,08;744,2;4,31;127,9;110,9;0,87;246,1;252,4;0;
2002;70;-8,4;-10,4;-6,0;87,3;2,40;2,86;742,1;5,87;75,4;66,0;0,88;267,3;264,9;0;
2002;71;-10,5;-11,7;-8,4;80,0;1,85;2,20;740,1;3,65;113,7;99,8;0,88;246,6;256,3;0;
2002;72;-11,4;-12,4;-8,8;89,2;1,95;2,30;732,5;2,09;156,6;141,0;0,90;258,2;253,1;0;
2002;73;-12,4;-13,9;-10,8;84,7;1,70;2,00;733,0;2,83;106,6;93,3;0,88;246,9;249,0;0;
2002;74;-13,6;-15,6;-10,9;82,2;1,50;1,76;732,4;1,94;120,0;106,6;0,89;238,3;244,3;0;
2002;75;-22,4;-27,0;-16,3;80,6;0,71;0,84;733,9;1,10;93,0;82,6;0,89;205,0;212,7;0;
2002;76;-22,1;-27,2;-13,1;81,0;0,77;0,91;734,1;0,88;74,8;66,6;0,89;206,6;213,8;0;
2002;77;-23,0;-28,7;-16,3;79,9;0,69;0,81;732,1;1,50;56,8;50,7;0,89;201,9;210,5;0;
2002;78;-23,6;-28,9;-19,8;79,2;0,63;0,74;732,7;1,21;57,8;51,1;0,88;199,2;208,6;0;
2002;79;-26,7;-31,5;-19,3;76,2;0,47;0,56;736,2;1,30;73,6;64,9;0,88;185,7;198,4;0;
2002;80;-12,1;-26,7;-4,1;66,8;1,67;1,96;730,5;3,18;88,0;77,2;0,88;219,9;250,3;0;
2002;81;-2,8;-6,4;1,8;69,0;2,85;3,37;734,1;2,79;233,0;206,4;0,89;257,9;288,3;0;
2002;82;0,0;-3,3;8,9;56,9;2,84;3,38;741,9;1,30;254,6;223,5;0,88;245,8;300,3;0;
2002;83;-1,5;-4,1;6,3;67,8;3,07;3,63;735,2;1,43;262,4;231,9;0,88;260,7;293,8;0;
2002;84;-5,7;-7,6;-3,9;74,1;2,53;2,98;732,3;2,86;188,1;165,9;0,88;255,4;275,9;0;
2002;85;-7,6;-8,9;-6,6;84,2;2,50;2,91;723,6;4,53;92,7;79,7;0,86;265,4;268,2;0;
2002;86;-11,5;-12,6;-8,9;80,6;1,75;2,05;728,6;3,73;175,4;152,9;0,87;243,8;252,5;0;
2002;87;-11,5;-12,6;-9,9;78,9;1,70;1,99;730,8;3,19;143,4;127,4;0,89;240,9;252,4;0;
2002;88;-11,6;-13,3;-10,2;74,0;1,59;1,88;732,8;3,75;203,7;177,6;0,87;232,9;252,3;0;
2002;89;-8,8;-10,1;-7,4;81,3;2,15;2,55;739,7;3,08;156,0;139,5;0,89;255,4;263,2;0;
2002;90;-6,6;-12,0;-4,5;86,1;2,73;3,23;736,7;4,71;106,1;90,6;0,85;273,1;272,4;0;
2002;91;-16,8;-20,9;-12,5;84,9;1,21;1,42;729,0;2,10;266,7;235,7;0,88;230,6;232,5;0;
2002;92;-17,0;-23,1;-12,9;75,2;1,05;1,24;736,2;1,76;275,2;242,2;0,88;215,7;232,0;0;
2002;93;-11,5;-14,8;-8,1;69,4;1,48;1,76;739,0;3,45;304,1;257,8;0,85;225,8;252,6;0;
2002;94;-6,6;-10,4;-3,7;67,2;2,13;2,49;728,1;3,18;287,1;249,2;0,87;240,0;272,3;0;
2002;95;-2,3;-6,0;4,6;56,9;2,47;2,89;725,5;3,30;232,9;192,8;0,83;237,3;290,4;0;
2002;96;-7,3;-7,7;-4,8;60,4;1,78;2,13;731,9;1,53;137,5;116,1;0,84;225,5;269,1;0;
2002;97;-5,8;-6,1;2,0;77,1;2,57;3,07;733,6;2,67;155,0;125,9;0,81;260,6;275,7;0;
2002;98;-9,4;-12,3;-6,8;66,0;1,69;2,00;737,3;3,61;217,4;177,9;0,82;227,6;260,8;0;
2002;99;-6,4;-8,7;-4,3;87,1;2,76;3,31;744,6;2,77;142,5;119,0;0,83;275,3;272,8;0;
2002;100;-4,6;-5,5;-2,8;81,2;2,97;3,51;734,9;3,61;139,3;112,8;0,81;272,6;280,4;0;
2002;101;-4,5;-6,0;-2,8;84,9;3,15;3,72;735,4;3,44;118,0;101,5;0,86;279,8;280,8;0;
2002;102;-3,3;-4,8;-1,4;84,3;3,38;4,01;739,3;4,07;139,6;117,5;0,84;283,8;285,9;0;
2002;103;-2,6;-4,2;-0,8;86,9;3,68;4,39;741,8;4,84;99,5;85,0;0,85;292,2;289,2;0;
2002;104;-6,3;-12,2;-2,1;81,0;2,82;3,35;737,5;4,96;142,1;118,4;0,83;265,6;273,6;0;
2002;105;-11,1;-12,9;-9,1;76,4;1,72;2,02;730,3;3,41;181,4;159,1;0,88;238,7;254,3;0;
2002;106;-9,1;-10,9;-6,5;82,9;2,12;2,53;741,6;2,43;220,8;190,3;0,86;256,8;261,8;0;
2002;107;-8,6;-10,9;-3,2;85,1;2,29;2,73;740,3;1,66;178,2;154,7;0,87;262,6;264,0;0;
2002;108;-8,7;-12,7;-3,6;77,3;2,06;2,45;742,0;1,85;238,6;206,8;0,87;249,4;263,8;0;
2002;109;-6,1;-10,9;-0,7;54,9;1,75;2,07;737,3;2,14;264,6;232,4;0,88;220,2;274,3;0;
2002;110;-2,7;-7,1;3,8;46,3;1,93;2,31;742,7;1,69;248,1;211,6;0,85;216,3;288,8;0;
2002;111;-4,2;-5,4;-2,2;77,9;2,97;3,50;734,7;3,25;154,4;126,8;0,82;268,6;282,4;0;
2002;112;-5,8;-10,4;-4,2;79,0;2,65;3,14;735,5;4,77;134,4;116,4;0,87;263,7;275,4;0;
2002;113;-12,3;-14,1;-9,4;82,4;1,67;1,97;735,4;2,59;184,6;151,7;0,82;243,8;249,5;0;
2002;114;-12,0;-14,1;-9,1;80,3;1,67;1,96;731,4;2,19;219,4;180,3;0,82;241,3;250,5;0;
2002;115;-8,8;-12,3;-4,0;77,1;2,04;2,41;734,0;1,26;223,7;188,8;0,84;248,3;263,1;0;
2002;116;-10,8;-14,7;-8,4;82,6;1,89;2,23;732,8;1,92;205,7;173,7;0,84;249,8;255,4;0;
2002;117;-8,0;-14,2;-2,7;65,2;1,79;2,12;737,4;1,97;266,5;220,1;0,83;231,3;266,5;0;
2002;118;-4,6;-6,9;-1,2;56,4;2,03;2,45;749,3;3,02;235,6;190,1;0,81;227,9;280,4;0;
2002;119;-2,5;-5,7;1,0;63,2;2,71;3,22;739,6;2,60;184,2;149,2;0,81;248,3;289,5;0;
2002;120;-4,7;-6,4;-2,7;79,6;2,88;3,41;736,7;1,84;219,8;189,7;0,86;269,2;279,9;0;
2002;121;-3,4;-7,8;0,3;65,0;2,61;3,12;743,5;3,46;227,7;192,6;0,85;248,0;285,4;0;
2002;122;-1,3;-8,7;0,4;71,1;3,31;3,94;739,2;4,12;105,7;87,5;0,83;268,0;294,8;0;
2002;123;-9,5;-12,1;-7,3;82,3;2,06;2,44;733,9;3,28;219,7;180,5;0,82;254,2;260,3;0;
2002;124;-8,1;-9,0;-6,0;82,6;2,31;2,75;738,2;3,25;176,8;141,7;0,80;260,7;266,1;0;
2002;125;-7,5;-9,4;-1,7;83,9;2,50;2,91;724,1;1,58;206,5;166,7;0,81;265,4;268,7;0;
2002;126;-12,3;-13,7;-8,9;78,8;1,64;1,91;723,5;3,92;220,4;186,8;0,85;238,1;249,6;0;
2002;127;-12,7;-13,9;-10,2;76,8;1,52;1,77;723,5;4,59;187,0;159,8;0,85;233,2;247,9;0;
2002;128;-9,8;-13,7;-4,5;63,0;1,59;1,85;723,8;1,91;274,0;223,9;0,82;221,4;259,4;0;
2002;129;-7,8;-11,8;-2,7;69,7;2,03;2,36;724,0;1,66;262,6;211,9;0,81;239,9;267,3;0;
2002;130;-6,0;-10,4;-1,5;55,6;1,85;2,15;724,2;2,37;260,2;207,0;0,80;221,8;274,7;0;
2002;131;-4,1;-6,6;-1,2;72,2;2,82;3,28;724,5;2,50;176,7;143,6;0,81;258,6;282,7;0;
2002;132;-1,0;-6,5;3,7;56,3;2,66;3,10;724,8;2,44;271,9;225,3;0,83;240,7;295,8;0;
2002;133;3,0;-0,6;6,6;42,3;2,72;3,17;725,3;2,11;234,8;190,0;0,81;227,7;309,3;0;
2002;134;-2,7;-6,2;2,2;77,4;3,39;3,95;724,7;3,61;186,3;146,1;0,78;273,9;288,6;0;
2002;135;-5,5;-7,8;-1,9;79,2;2,76;3,22;724,4;1,63;172,8;132,6;0,77;265,3;276,7;0;
2002;136;-2,8;-6,5;3,0;76,2;3,19;3,71;724,6;1,23;231,0;168,7;0,73;271,1;288,2;0;
2002;137;-2,8;-3,9;-1,5;82,2;3,52;4,10;724,6;2,70;114,3;81,0;0,71;282,3;288,2;0;
2002;138;-1,6;-5,1;1,9;77,8;3,67;4,27;724,8;2,42;188,1;136,9;0,73;279,2;293,3;0;
2002;139;4,8;0,2;9,3;78,1;5,71;6,66;725,4;2,58;196,4;151,0;0,77;309,4;309,3;0;
2002;140;5,4;4,0;7,1;77,9;6,00;7,00;725,6;3,28;195,2;154,0;0,79;311,9;309,3;0;
2002;141;0,2;-2,8;4,1;91,7;4,88;5,69;725,0;2,95;77,8;61,8;0,79;314,1;309,3;0;
2002;142;-7,6;-10,3;-2,7;75,0;2,32;2,71;724,1;4,12;103,7;80,9;0,78;249,5;268,0;0;
2002;143;-7,0;-10,3;-3,6;80,8;2,56;2,98;724,1;1,84;211,5;168,1;0,79;261,8;270,4;0;
2002;144;-4,2;-5,9;-2,6;81,9;3,14;3,65;724,5;2,57;176,5;136,7;0,77;275,7;282,2;0;
2002;145;-1,9;-4,8;0,8;80,6;3,71;4,32;724,7;2,62;220,6;175,8;0,80;283,4;292,2;0;
2002;146;0,3;-1,7;2,1;83,6;4,48;5,23;724,9;2,39;201,0;166,0;0,83;299,0;309,3;0;
2002;147;1,6;-0,2;3,1;81,4;4,80;5,60;725,0;3,29;162,0;135,9;0,84;300,9;309,3;0;
2002;148;2,1;1,2;3,8;87,5;5,28;6,18;728,8;3,01;98,6;78,0;0,79;315,1;309,3;0;
2002;149;1,0;0,0;2,9;88,3;4,81;5,78;746,8;5,04;87,7;66,5;0,76;311,5;309,3;0;
2002;150;1,8;-1,4;5,5;66,2;3,88;4,52;725,5;2,96;270,3;209,3;0,77;271,4;309,3;0;
2002;151;1,2;-1,4;3,9;71,0;4,02;4,68;725,0;2,51;168,9;126,5;0,75;278,4;309,3;0;
2002;152;0,6;-1,3;3,1;79,8;4,33;5,05;725,0;1,75;152,8;113,6;0,74;292,8;309,3;0;
2002;153;0,2;-2,7;5,7;89,0;4,64;5,49;735,9;0,87;153,6;112,8;0,73;309,1;309,3;0;
2002;154;0,7;-2,9;4,5;74,9;3,92;4,73;749,9;1,97;206,4;155,7;0,75;283,6;309,3;0;
2002;155;3,0;1,1;4,3;69,6;4,38;5,28;749,9;2,44;143,0;103,6;0,72;283,2;309,3;0;
2002;156;1,7;-2,1;3,6;89,2;5,13;6,14;744,5;4,35;69,4;51,4;0,74;316,7;309,3;0;
2002;157;-4,0;-6,0;-2,2;81,9;3,13;3,74;743,3;3,47;198,2;149,7;0,76;276,6;283,0;0;
2002;158;-4,5;-7,8;0,1;73,7;2,70;3,23;744,0;1,82;239,9;186,3;0,78;259,8;281,1;1;
2002;159;-4,2;-5,0;-3,3;91,4;3,40;4,09;748,1;6,19;180,3;161,5;0,90;292,8;282,2;1;
2002;160;-2,0;-3,4;-0,7;89,8;3,91;4,72;750,8;5,29;167,8;146,1;0,87;299,9;291,5;1;
2002;161;-1,2;-2,3;0,2;83,2;3,87;4,66;749,1;3,53;168,1;146,7;0,87;291,4;295,2;1;
2002;162;1,0;-2,3;5,0;62,7;3,37;4,05;748,4;2,84;269,0;216,3;0,80;261,1;309,3;1;
2002;163;5,1;1,7;9,2;48,3;3,41;4,13;754,0;2,23;360,4;258,1;0,72;247,7;309,3;1;
2002;164;7,7;4,2;11,7;44,2;3,80;4,62;757,5;1,96;349,4;245,8;0,70;248,7;309,3;1;
2002;165;8,5;5,5;12,1;30,9;2,79;3,39;754,8;1,34;350,0;243,1;0,69;222,1;309,3;1;
2002;166;8,8;5,2;12,4;43,8;4,07;4,92;751,9;2,27;320,4;232,3;0,72;252,1;309,3;1;
2002;167;7,8;4,2;11,1;59,5;5,15;6,20;749,2;2,52;280,8;204,2;0,73;282,8;309,3;1;
2002;168;4,6;2,6;7,7;67,7;4,77;5,70;743,4;3,16;165,4;120,6;0,73;286,4;309,3;1;
2002;169;0,7;-1,5;2,9;94,0;5,08;6,05;740,2;1,59;102,7;79,1;0,77;321,4;309,3;0;
2002;170;0,2;-1,6;1,9;86,1;4,45;5,35;746,6;2,68;268,6;198,8;0,74;303,6;309,3;0;
2002;171;2,6;-0,2;6,1;70,3;4,21;5,08;751,4;2,68;320,9;234,6;0,73;282,7;309,3;1;
2002;172;5,5;0,9;9,7;51,2;3,77;4,56;752,5;2,14;359,2;249,2;0,69;255,3;309,3;1;
2002;173;9,0;5,6;12,9;50,4;4,82;5,83;752,7;1,45;311,9;212,4;0,68;267,8;309,3;1;
2002;174;7,4;4,3;10,4;72,8;6,14;7,41;751,2;2,19;215,9;140,7;0,65;310,2;309,3;1;
2002;175;6,0;3,4;9,2;69,1;5,26;6,36;752,1;3,33;296,8;182,8;0,62;295,8;309,3;1;
2002;176;8,5;5,6;11,9;59,4;5,38;6,53;755,4;2,67;322,8;188,9;0,59;285,7;309,3;1;
2002;177;11,5;8,2;15,9;46,0;5,06;6,14;755,3;3,04;347,7;197,6;0,57;267,9;309,3;1;
2002;178;11,3;8,7;13,6;56,8;6,25;7,53;749,4;3,09;128,8;77,5;0,60;292,4;309,3;1;
2002;179;6,1;4,2;8,8;74,5;5,83;6,97;743,7;3,56;86,0;54,0;0,63;307,7;309,3;1;
2002;180;3,0;1,4;4,0;84,1;5,36;6,39;741,5;3,35;112,2;71,6;0,64;313,0;309,3;1;
2002;181;-0,1;-1,3;1,3;81,1;4,11;4,93;745,9;3,78;113,2;95,0;0,84;292,6;300,1;1;
2002;182;-1,0;-2,0;0,6;73,0;3,45;4,15;747,3;3,91;175,2;153,5;0,88;273,0;296,2;1;
2002;183;1,9;-1,1;6,2;56,0;3,15;3,80;749,9;3,86;356,8;257,1;0,72;251,2;309,3;1;
2002;184;5,1;2,6;7,7;48,4;3,54;4,26;748,0;2,73;204,6;126,4;0,62;248,1;309,3;1;
2002;185;1,1;-2,1;4,5;70,8;3,89;4,66;744,2;3,71;107,2;70,3;0,66;277,4;309,3;1;
2002;186;-0,2;-4,4;4,5;68,6;3,32;4,00;748,5;3,56;348,8;273,1;0,78;267,5;299,4;1;
2002;187;5,7;0,8;10,7;47,4;3,50;4,24;754,0;2,21;341,6;218,7;0,64;248,0;309,3;1;
2002;188;10,2;6,6;16,0;51,8;5,18;6,30;756,3;2,00;286,4;166,1;0,58;276,0;309,3;1;
2002;189;5,9;3,3;9,0;89,8;6,96;8,37;747,5;3,00;58,4;35,1;0,60;339,9;309,3;1;
2002;190;5,7;3,2;9,6;82,6;6,27;7,51;744,6;2,90;238,7;128,7;0,54;323,2;309,3;1;
2002;191;11,0;6,3;16,7;59,0;6,09;7,45;761,1;2,72;342,1;176,4;0,52;296,1;309,3;1;
2002;192;14,9;11,6;18,0;42,8;5,78;7,05;758,5;2,40;328,3;181,3;0,55;274,2;309,3;1;
2002;193;15,7;13,0;18,9;35,2;5,09;6,20;756,6;2,56;334,1;180,9;0,54;258,4;309,3;1;
2002;194;17,0;14,2;20,2;30,9;4,83;5,86;754,7;2,48;279,5;155,8;0,56;252,6;309,3;1;
2002;195;11,2;8,1;16,9;65,5;7,13;8,58;748,7;4,36;135,6;75,6;0,56;312,6;309,3;1;
2002;196;10,2;7,6;14,0;56,1;5,67;6,85;751,4;2,46;306,9;166,3;0,54;285,9;309,3;1;
2002;197;12,3;8,4;15,5;45,2;5,19;6,29;753,2;1,75;315,9;173,8;0,55;269,1;309,3;1;
2002;198;13,1;10,8;15,4;42,8;5,29;6,41;753,6;3,59;253,2;143,4;0,57;266,8;309,3;1;
2002;199;12,6;9,9;15,1;47,1;5,61;6,79;752,9;2,62;263,6;150,7;0,57;275,1;309,3;1;
2002;200;11,0;8,9;13,7;52,4;5,63;6,79;750,7;2,99;233,8;130,7;0,56;280,7;309,3;1;
2002;201;7,2;4,7;9,6;44,8;3,71;4,49;752,1;2,75;293,4;159,3;0,54;248,2;309,3;1;
2002;202;5,4;2,1;9,5;66,7;4,86;5,91;756,9;1,57;192,8;106,8;0,55;287,9;309,3;1;
2002;203;7,9;2,8;12,8;60,6;5,00;6,08;756,4;1,63;269,9;140,7;0,52;285,4;309,3;1;
2002;204;11,4;8,9;14,8;41,3;4,55;5,51;754,2;1,86;275,4;150,0;0,54;256,3;309,3;1;
2002;205;11,2;8,2;15,1;50,1;5,40;6,56;755,5;2,57;257,3;141,6;0,55;276,2;309,3;1;
2002;206;11,1;8,0;14,7;55,4;6,01;7,28;754,1;2,84;218,8;126,2;0,58;288,5;309,3;1;
2002;207;8,4;6,5;10,9;69,7;6,40;7,70;748,6;3,02;157,7;88,6;0,56;308,7;309,3;1;
2002;208;6,7;4,6;9,5;58,2;4,69;5,64;748,2;2,14;259,7;144,7;0,56;275,4;309,3;1;
2002;209;5,2;4,4;6,3;61,3;4,52;5,43;747,5;3,58;99,3;54,4;0,55;275,6;309,3;1;
2002;210;3,0;1,2;4,2;74,5;4,66;5,60;747,8;3,72;123,5;81,7;0,66;293,1;309,3;1;
2002;211;3,2;0,0;4,6;74,1;4,70;5,64;746,7;3,43;162,7;88,5;0,54;293,1;309,3;1;
2002;212;-0,9;-3,0;1,8;89,3;4,23;5,10;748,6;2,63;154,9;148,6;0,90;304,5;296,5;1;
2002;213;0,9;-1,6;4,2;83,5;4,42;5,35;752,8;1,56;183,2;151,2;0,82;301,4;309,3;1;
2002;214;0,8;-2,0;4,9;87,4;4,65;5,60;747,7;2,66;116,7;96,0;0,82;308,6;309,3;1;
